"","DIM","funcId","ID","runtime","run","f(x)","instance"
"1",30,1,"conf_278",1500,1,0.1396024874,1
"2",30,1,"conf_278",3000,1,0.0001474191,1
"3",30,1,"conf_278",9000,1,1e-09,1
"4",30,1,"conf_278",15000,1,1e-09,1
"5",30,1,"conf_278",30000,1,1e-09,1
"6",30,1,"conf_278",45000,1,1e-09,1
"7",30,1,"conf_278",1500,2,0.0471251161,1
"8",30,1,"conf_278",3000,2,3.0162e-05,1
"9",30,1,"conf_278",9000,2,1e-09,1
"10",30,1,"conf_278",15000,2,1e-09,1
"11",30,1,"conf_278",30000,2,1e-09,1
"12",30,1,"conf_278",45000,2,1e-09,1
"13",30,1,"conf_278",1500,3,0.098696464,1
"14",30,1,"conf_278",3000,3,6.39043e-05,1
"15",30,1,"conf_278",9000,3,8e-10,1
"16",30,1,"conf_278",15000,3,8e-10,1
"17",30,1,"conf_278",30000,3,8e-10,1
"18",30,1,"conf_278",45000,3,8e-10,1
"19",30,1,"conf_278",1500,4,0.0945991084,1
"20",30,1,"conf_278",3000,4,5.37094e-05,1
"21",30,1,"conf_278",9000,4,9e-10,1
"22",30,1,"conf_278",15000,4,9e-10,1
"23",30,1,"conf_278",30000,4,9e-10,1
"24",30,1,"conf_278",45000,4,9e-10,1
"25",30,1,"conf_278",1500,5,0.0660916951,1
"26",30,1,"conf_278",3000,5,2.22465e-05,1
"27",30,1,"conf_278",9000,5,8e-10,1
"28",30,1,"conf_278",15000,5,8e-10,1
"29",30,1,"conf_278",30000,5,8e-10,1
"30",30,1,"conf_278",45000,5,8e-10,1
"31",30,1,"conf_278",1500,6,0.0695887308,1
"32",30,1,"conf_278",3000,6,0.0003306436,1
"33",30,1,"conf_278",9000,6,9e-10,1
"34",30,1,"conf_278",15000,6,9e-10,1
"35",30,1,"conf_278",30000,6,9e-10,1
"36",30,1,"conf_278",45000,6,9e-10,1
"37",30,1,"conf_278",1500,7,0.0722719847,1
"38",30,1,"conf_278",3000,7,2.85171e-05,1
"39",30,1,"conf_278",9000,7,9e-10,1
"40",30,1,"conf_278",15000,7,9e-10,1
"41",30,1,"conf_278",30000,7,9e-10,1
"42",30,1,"conf_278",45000,7,9e-10,1
"43",30,1,"conf_278",1500,8,0.098765949,1
"44",30,1,"conf_278",3000,8,6.89325e-05,1
"45",30,1,"conf_278",9000,8,9e-10,1
"46",30,1,"conf_278",15000,8,9e-10,1
"47",30,1,"conf_278",30000,8,9e-10,1
"48",30,1,"conf_278",45000,8,9e-10,1
"49",30,1,"conf_278",1500,9,0.0799882609,1
"50",30,1,"conf_278",3000,9,5.45612e-05,1
"51",30,1,"conf_278",9000,9,1e-09,1
"52",30,1,"conf_278",15000,9,1e-09,1
"53",30,1,"conf_278",30000,9,1e-09,1
"54",30,1,"conf_278",45000,9,1e-09,1
"55",30,1,"conf_278",1500,10,0.0269724303,1
"56",30,1,"conf_278",3000,10,1.68939e-05,1
"57",30,1,"conf_278",9000,10,8e-10,1
"58",30,1,"conf_278",15000,10,8e-10,1
