"","DIM","funcId","ID","runtime","run","f(x)","instance"
"1",30,1,"conf_137",1500,1,0.3928494623,1
"2",30,1,"conf_137",3000,1,0.0004890746,1
"3",30,1,"conf_137",9000,1,7e-10,1
"4",30,1,"conf_137",15000,1,7e-10,1
"5",30,1,"conf_137",30000,1,7e-10,1
"6",30,1,"conf_137",45000,1,7e-10,1
"7",30,1,"conf_137",1500,2,0.3941692369,1
"8",30,1,"conf_137",3000,2,0.0004773826,1
"9",30,1,"conf_137",9000,2,1e-09,1
"10",30,1,"conf_137",15000,2,1e-09,1
"11",30,1,"conf_137",30000,2,1e-09,1
"12",30,1,"conf_137",45000,2,1e-09,1
"13",30,1,"conf_137",1500,3,0.3623035227,1
"14",30,1,"conf_137",3000,3,0.0003098321,1
"15",30,1,"conf_137",9000,3,8e-10,1
"16",30,1,"conf_137",15000,3,8e-10,1
"17",30,1,"conf_137",30000,3,8e-10,1
"18",30,1,"conf_137",45000,3,8e-10,1
"19",30,1,"conf_137",1500,4,0.4972480025,1
"20",30,1,"conf_137",3000,4,0.0004078854,1
"21",30,1,"conf_137",9000,4,7e-10,1
"22",30,1,"conf_137",15000,4,7e-10,1
"23",30,1,"conf_137",30000,4,7e-10,1
"24",30,1,"conf_137",45000,4,7e-10,1
"25",30,1,"conf_137",1500,5,0.2541482331,1
"26",30,1,"conf_137",3000,5,0.000440602,1
"27",30,1,"conf_137",9000,5,9e-10,1
"28",30,1,"conf_137",15000,5,9e-10,1
"29",30,1,"conf_137",30000,5,9e-10,1
"30",30,1,"conf_137",45000,5,9e-10,1
"31",30,1,"conf_137",1500,6,0.307391319,1
"32",30,1,"conf_137",3000,6,0.0002414216,1
"33",30,1,"conf_137",9000,6,1e-09,1
"34",30,1,"conf_137",15000,6,1e-09,1
"35",30,1,"conf_137",30000,6,1e-09,1
"36",30,1,"conf_137",45000,6,1e-09,1
"37",30,1,"conf_137",1500,7,0.2680916753,1
"38",30,1,"conf_137",3000,7,0.0002175863,1
"39",30,1,"conf_137",9000,7,1e-09,1
"40",30,1,"conf_137",15000,7,1e-09,1
"41",30,1,"conf_137",30000,7,1e-09,1
"42",30,1,"conf_137",45000,7,1e-09,1
"43",30,1,"conf_137",1500,8,0.1856800642,1
"44",30,1,"conf_137",3000,8,0.0002335666,1
"45",30,1,"conf_137",9000,8,7e-10,1
"46",30,1,"conf_137",15000,8,7e-10,1
"47",30,1,"conf_137",30000,8,7e-10,1
"48",30,1,"conf_137",45000,8,7e-10,1
"49",30,1,"conf_137",1500,9,0.1741577509,1
"50",30,1,"conf_137",3000,9,0.0002252258,1
"51",30,1,"conf_137",9000,9,8e-10,1
"52",30,1,"conf_137",15000,9,8e-10,1
"53",30,1,"conf_137",30000,9,8e-10,1
"54",30,1,"conf_137",45000,9,8e-10,1
"55",30,1,"conf_137",1500,10,0.1741577509,1
"56",30,1,"conf_137",3000,10,0.0002252258,1
"57",30,1,"conf_137",9000,10,8e-10,1
"58",30,1,"conf_137",15000,10,8e-10,1
"59",30,1,"conf_137",30000,10,8e-10,1
"60",30,1,"conf_137",45000,10,8e-10,1
"61",30,1,"conf_137",1500,11,0.2304635111,2
"62",30,1,"conf_137",3000,11,0.0002178389,2
"63",30,1,"conf_137",9000,11,1e-09,2
"64",30,1,"conf_137",15000,11,1e-09,2
"65",30,1,"conf_137",30000,11,1e-09,2
"66",30,1,"conf_137",45000,11,1e-09,2
