"","DIM","funcId","ID","runtime","run","f(x)","instance"
"1",30,1,"conf_300",1500,1,0.035406653,1
"2",30,1,"conf_300",3000,1,7.4718e-06,1
"3",30,1,"conf_300",9000,1,9e-10,1
"4",30,1,"conf_300",15000,1,9e-10,1
"5",30,1,"conf_300",30000,1,9e-10,1
"6",30,1,"conf_300",45000,1,9e-10,1
"7",30,1,"conf_300",1500,2,0.0272908518,1
"8",30,1,"conf_300",3000,2,3.6637e-06,1
"9",30,1,"conf_300",9000,2,1e-09,1
"10",30,1,"conf_300",15000,2,1e-09,1
"11",30,1,"conf_300",30000,2,1e-09,1
"12",30,1,"conf_300",45000,2,1e-09,1
"13",30,1,"conf_300",1500,3,0.0139239699,1
"14",30,1,"conf_300",3000,3,1.2738e-06,1
"15",30,1,"conf_300",9000,3,9e-10,1
"16",30,1,"conf_300",15000,3,9e-10,1
"17",30,1,"conf_300",30000,3,9e-10,1
"18",30,1,"conf_300",45000,3,9e-10,1
"19",30,1,"conf_300",1500,4,0.0151989374,1
"20",30,1,"conf_300",3000,4,2.1093e-06,1
"21",30,1,"conf_300",9000,4,9e-10,1
"22",30,1,"conf_300",15000,4,9e-10,1
"23",30,1,"conf_300",30000,4,9e-10,1
"24",30,1,"conf_300",45000,4,9e-10,1
"25",30,1,"conf_300",1500,5,0.015172026,1
"26",30,1,"conf_300",3000,5,2.9196e-06,1
"27",30,1,"conf_300",9000,5,9e-10,1
"28",30,1,"conf_300",15000,5,9e-10,1
"29",30,1,"conf_300",30000,5,9e-10,1
"30",30,1,"conf_300",45000,5,9e-10,1
"31",30,1,"conf_300",1500,6,0.0121640964,1
"32",30,1,"conf_300",3000,6,1.075e-06,1
"33",30,1,"conf_300",9000,6,7e-10,1
"34",30,1,"conf_300",15000,6,7e-10,1
"35",30,1,"conf_300",30000,6,7e-10,1
"36",30,1,"conf_300",45000,6,7e-10,1
"37",30,1,"conf_300",1500,7,0.017676123,1
"38",30,1,"conf_300",3000,7,1.8912e-06,1
"39",30,1,"conf_300",9000,7,9e-10,1
"40",30,1,"conf_300",15000,7,9e-10,1
"41",30,1,"conf_300",30000,7,9e-10,1
"42",30,1,"conf_300",45000,7,9e-10,1
"43",30,1,"conf_300",1500,8,0.015086857,1
"44",30,1,"conf_300",3000,8,4.2676e-06,1
"45",30,1,"conf_300",9000,8,9e-10,1
"46",30,1,"conf_300",15000,8,9e-10,1
"47",30,1,"conf_300",30000,8,9e-10,1
"48",30,1,"conf_300",45000,8,9e-10,1
"49",30,1,"conf_300",1500,9,0.0306393202,1
"50",30,1,"conf_300",3000,9,6.405e-06,1
"51",30,1,"conf_300",9000,9,8e-10,1
"52",30,1,"conf_300",15000,9,8e-10,1
"53",30,1,"conf_300",30000,9,8e-10,1
"54",30,1,"conf_300",45000,9,8e-10,1
