"","DIM","funcId","ID","runtime","run","f(x)","instance"
"1",30,1,"conf_251",1500,1,0.0257863179,1
"2",30,1,"conf_251",3000,1,5.4132e-06,1
"3",30,1,"conf_251",9000,1,7e-10,1
"4",30,1,"conf_251",15000,1,7e-10,1
"5",30,1,"conf_251",30000,1,7e-10,1
"6",30,1,"conf_251",45000,1,7e-10,1
"7",30,1,"conf_251",1500,2,0.0334913386,1
"8",30,1,"conf_251",3000,2,7.6645e-06,1
"9",30,1,"conf_251",9000,2,8e-10,1
"10",30,1,"conf_251",15000,2,8e-10,1
"11",30,1,"conf_251",30000,2,8e-10,1
"12",30,1,"conf_251",45000,2,8e-10,1
"13",30,1,"conf_251",1500,3,0.0383508981,1
"14",30,1,"conf_251",3000,3,8.7168e-06,1
"15",30,1,"conf_251",9000,3,8e-10,1
"16",30,1,"conf_251",15000,3,8e-10,1
"17",30,1,"conf_251",30000,3,8e-10,1
"18",30,1,"conf_251",45000,3,8e-10,1
"19",30,1,"conf_251",1500,4,0.0404571737,1
"20",30,1,"conf_251",3000,4,1.27881e-05,1
"21",30,1,"conf_251",9000,4,9e-10,1
"22",30,1,"conf_251",15000,4,9e-10,1
"23",30,1,"conf_251",30000,4,9e-10,1
"24",30,1,"conf_251",45000,4,9e-10,1
"25",30,1,"conf_251",1500,5,0.0525173939,1
"26",30,1,"conf_251",3000,5,1.1398e-05,1
"27",30,1,"conf_251",9000,5,8e-10,1
"28",30,1,"conf_251",15000,5,8e-10,1
"29",30,1,"conf_251",30000,5,8e-10,1
"30",30,1,"conf_251",45000,5,8e-10,1
"31",30,1,"conf_251",1500,6,0.0407668973,1
"32",30,1,"conf_251",3000,6,9.3199e-06,1
"33",30,1,"conf_251",9000,6,9e-10,1
"34",30,1,"conf_251",15000,6,9e-10,1
"35",30,1,"conf_251",30000,6,9e-10,1
"36",30,1,"conf_251",45000,6,9e-10,1
"37",30,1,"conf_251",1500,7,0.0442532062,1
"38",30,1,"conf_251",3000,7,8.0459e-06,1
"39",30,1,"conf_251",9000,7,9e-10,1
"40",30,1,"conf_251",15000,7,9e-10,1
"41",30,1,"conf_251",30000,7,9e-10,1
"42",30,1,"conf_251",45000,7,9e-10,1
"43",30,1,"conf_251",1500,8,0.0563183934,1
"44",30,1,"conf_251",3000,8,1.09834e-05,1
"45",30,1,"conf_251",9000,8,8e-10,1
"46",30,1,"conf_251",15000,8,8e-10,1
"47",30,1,"conf_251",30000,8,8e-10,1
"48",30,1,"conf_251",45000,8,8e-10,1
"49",30,1,"conf_251",1500,9,0.0250523302,1
"50",30,1,"conf_251",3000,9,3.4081e-06,1
"51",30,1,"conf_251",9000,9,1e-09,1
"52",30,1,"conf_251",15000,9,1e-09,1
"53",30,1,"conf_251",30000,9,1e-09,1
